epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8015,1.38416,3.77556,1.3258,0.00831,0.52205,0.05788,0.0352,1.23677,4.404,1.11829,0.000327273,0.000327273,0.000327273
2,106.187,1.38578,3.04665,1.3482,0.11237,0.16857,0.08072,0.03861,1.56571,4.18978,1.40517,0.000644256,0.000644256,0.000644256
3,160.842,1.40376,2.9422,1.3449,0.15976,0.21382,0.10923,0.05928,1.58033,7.00455,1.46636,0.000944739,0.000944739,0.000944739
4,219.34,1.41261,2.90931,1.32871,0.23925,0.30995,0.14604,0.08234,1.65626,4.37663,1.44671,0.00092575,0.00092575,0.00092575
5,278.203,1.43669,2.81515,1.35715,0.16809,0.24147,0.11574,0.06321,1.49684,4.30927,1.35906,0.000901,0.000901,0.000901
6,339.187,1.4112,2.62034,1.34562,0.1706,0.23938,0.1283,0.0653,1.54071,3.48912,1.375,0.00087625,0.00087625,0.00087625
7,406.626,1.40844,2.51401,1.32498,0.15944,0.2897,0.13875,0.07726,1.63427,3.21536,1.42012,0.0008515,0.0008515,0.0008515
8,475.462,1.40894,2.44785,1.309,0.24577,0.32731,0.19759,0.11386,1.53809,3.10387,1.38275,0.00082675,0.00082675,0.00082675
9,558.737,1.32213,2.34389,1.26307,0.26219,0.32655,0.22373,0.1239,1.5571,2.78849,1.35845,0.000802,0.000802,0.000802
10,647.363,1.34875,2.19612,1.2811,0.32234,0.39606,0.27028,0.16068,1.46293,2.48821,1.28353,0.00077725,0.00077725,0.00077725
11,737.268,1.35231,2.12744,1.27424,0.32214,0.35136,0.25723,0.15374,1.44899,2.49896,1.28536,0.0007525,0.0007525,0.0007525
12,832.961,1.29605,2.09238,1.2656,0.32003,0.31384,0.2361,0.14072,1.48297,2.70819,1.37797,0.00072775,0.00072775,0.00072775
13,919.403,1.29053,2.06343,1.24836,0.39683,0.29376,0.27613,0.16105,1.53403,2.44327,1.32714,0.000703,0.000703,0.000703
14,1005.31,1.26671,1.97915,1.23468,0.37258,0.33726,0.26631,0.17506,1.33545,2.37409,1.26428,0.00067825,0.00067825,0.00067825
15,1089.25,1.24995,1.92329,1.22835,0.33856,0.33289,0.25067,0.15249,1.45726,2.48857,1.26112,0.0006535,0.0006535,0.0006535
16,1169.56,1.24059,1.83218,1.2294,0.36907,0.26953,0.2583,0.15771,1.4163,2.47755,1.26817,0.00062875,0.00062875,0.00062875
17,1248.98,1.20561,1.83126,1.21021,0.3328,0.29999,0.23124,0.15227,1.40005,2.4692,1.26678,0.000604,0.000604,0.000604
18,1336.9,1.22254,1.77065,1.21589,0.28085,0.36489,0.22631,0.13954,1.45106,2.48098,1.304,0.00057925,0.00057925,0.00057925
19,1424.18,1.2175,1.72464,1.18979,0.35233,0.30824,0.24423,0.14667,1.47659,2.36699,1.31497,0.0005545,0.0005545,0.0005545
20,1507.83,1.21462,1.64586,1.18438,0.31584,0.4018,0.28312,0.17785,1.43168,2.17077,1.25896,0.00052975,0.00052975,0.00052975
21,1599.95,1.17342,1.59258,1.16773,0.34925,0.413,0.34989,0.20576,1.48825,2.17999,1.28729,0.000505,0.000505,0.000505
22,1704.94,1.16721,1.53259,1.144,0.41689,0.31056,0.28708,0.17208,1.53658,2.35246,1.29206,0.00048025,0.00048025,0.00048025
23,1799.18,1.18386,1.535,1.17034,0.36789,0.34973,0.29277,0.18336,1.41588,2.21024,1.24215,0.0004555,0.0004555,0.0004555
24,1892.59,1.18087,1.51263,1.1662,0.39331,0.37746,0.32707,0.2084,1.40507,2.14802,1.24096,0.00043075,0.00043075,0.00043075
25,1978.52,1.14962,1.4606,1.14412,0.38091,0.41285,0.33499,0.21357,1.35789,2.13884,1.2327,0.000406,0.000406,0.000406
26,2063.69,1.10749,1.37304,1.11762,0.4235,0.36071,0.3305,0.19759,1.46334,2.07624,1.26772,0.00038125,0.00038125,0.00038125
27,2148.22,1.13462,1.3926,1.11552,0.41063,0.31877,0.28534,0.17852,1.43571,2.26598,1.27464,0.0003565,0.0003565,0.0003565
28,2246.68,1.12781,1.3487,1.15572,0.34876,0.39667,0.31469,0.19807,1.40166,2.18693,1.2483,0.00033175,0.00033175,0.00033175
29,2343.7,1.13578,1.29227,1.13427,0.39959,0.35061,0.31608,0.19365,1.47526,2.15873,1.29953,0.000307,0.000307,0.000307
30,2434.92,1.07596,1.24531,1.11176,0.33446,0.44389,0.3172,0.19963,1.38617,2.21267,1.24289,0.00028225,0.00028225,0.00028225
31,2549.91,1.01682,1.22727,1.04644,0.33905,0.36961,0.2936,0.18122,1.38872,2.30955,1.24513,0.0002575,0.0002575,0.0002575
32,2657.87,1.00209,1.11925,1.05211,0.45731,0.32825,0.30385,0.18615,1.43673,2.22761,1.2659,0.00023275,0.00023275,0.00023275
33,2756.69,0.97647,1.1053,1.04177,0.4425,0.34835,0.33921,0.21268,1.39924,2.182,1.2478,0.000208,0.000208,0.000208
34,2858.94,0.97053,1.04009,1.0306,0.42682,0.31217,0.30829,0.19214,1.35412,2.19603,1.23703,0.00018325,0.00018325,0.00018325
35,2956.8,0.97325,1.00993,1.03493,0.36276,0.34333,0.31803,0.2003,1.41046,2.15796,1.24032,0.0001585,0.0001585,0.0001585
36,3051.89,0.9669,0.99445,1.01973,0.35854,0.39792,0.31312,0.19755,1.41683,2.17564,1.26652,0.00013375,0.00013375,0.00013375
37,3162.68,0.97213,0.92866,1.02235,0.36622,0.41116,0.32811,0.20923,1.40211,2.22629,1.25402,0.000109,0.000109,0.000109
