epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2028,1.14464,2.49835,1.20312,0.4261,0.05862,0.13005,0.07954,1.22312,3.2885,1.17245,0.000652482,0.000652482,0.000652482
2,96.2761,1.33501,2.19852,1.28263,0.33438,0.34483,0.21829,0.12234,1.47933,2.75991,1.40462,0.0012865,0.0012865,0.0012865
3,149.825,1.47342,2.07783,1.35315,0.06175,0.12414,0.02427,0.01122,1.694,8.33551,1.69611,0.00188752,0.00188752,0.00188752
4,223.502,1.48276,2.02742,1.35404,0.4176,0.31379,0.26676,0.16053,1.58814,2.48602,1.51272,0.0018515,0.0018515,0.0018515
5,326.957,1.45507,1.93652,1.34642,0.45844,0.41158,0.37009,0.20785,1.49701,2.33663,1.42607,0.001802,0.001802,0.001802
6,422.55,1.4036,1.86388,1.32846,0.36393,0.41034,0.29612,0.17586,1.47124,2.49578,1.4033,0.0017525,0.0017525,0.0017525
7,510.741,1.35042,1.74774,1.29214,0.41925,0.3958,0.3251,0.21162,1.47137,2.09277,1.398,0.001703,0.001703,0.001703
8,605.648,1.31489,1.67113,1.26856,0.48618,0.39154,0.39202,0.24176,1.40939,2.1958,1.34612,0.0016535,0.0016535,0.0016535
9,708.479,1.35608,1.62447,1.25916,0.53888,0.44138,0.41345,0.26926,1.3861,1.78885,1.31628,0.001604,0.001604,0.001604
10,808.264,1.31313,1.58988,1.26558,0.61556,0.40858,0.40592,0.24364,1.42287,1.79603,1.34908,0.0015545,0.0015545,0.0015545
11,905.617,1.28206,1.57197,1.25289,0.47119,0.37586,0.33494,0.20934,1.34967,1.78442,1.29824,0.001505,0.001505,0.001505
12,1002.64,1.25018,1.43947,1.22373,0.54278,0.4069,0.41101,0.25827,1.31892,1.84931,1.2855,0.0014555,0.0014555,0.0014555
