epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2657,1.36675,3.66642,1.32715,0.01008,0.44162,0.09223,0.05552,1.346,4.10251,1.15522,0.000326241,0.000326241,0.000326241
2,95.6895,1.36361,3.01721,1.31169,0.15751,0.09065,0.06649,0.03148,1.48097,3.78375,1.29839,0.00064325,0.00064325,0.00064325
3,142.343,1.38309,2.85041,1.3087,0.13008,0.17394,0.07856,0.0452,1.49785,4.4892,1.35225,0.000943759,0.000943759,0.000943759
4,189.886,1.40242,2.7833,1.32824,0.16077,0.24723,0.08847,0.05163,1.59187,3.9303,1.43177,0.00092575,0.00092575,0.00092575
5,280.393,1.38207,2.6682,1.31463,0.22214,0.20856,0.13095,0.07982,1.51848,3.90113,1.36414,0.000901,0.000901,0.000901
6,360.286,1.41375,2.57991,1.34019,0.23516,0.32447,0.2123,0.12828,1.55286,2.82417,1.31222,0.00087625,0.00087625,0.00087625
7,436.707,1.33977,2.43118,1.26492,0.24167,0.28135,0.17161,0.08501,1.6095,2.9246,1.35523,0.0008515,0.0008515,0.0008515
8,496.781,1.3055,2.34619,1.24927,0.2368,0.33255,0.2274,0.13765,1.4762,2.77958,1.29114,0.00082675,0.00082675,0.00082675
9,568.325,1.34232,2.29404,1.25069,0.29241,0.27607,0.23211,0.14649,1.48286,2.67775,1.26004,0.000802,0.000802,0.000802
10,718.786,1.31687,2.18411,1.26851,0.23862,0.27979,0.17583,0.1094,1.46247,2.5273,1.31389,0.00077725,0.00077725,0.00077725
11,849.352,1.29808,2.12756,1.25831,0.32202,0.30955,0.25592,0.15318,1.50298,2.51242,1.29832,0.0007525,0.0007525,0.0007525
12,949.249,1.27311,1.98814,1.23078,0.33614,0.33433,0.22937,0.13771,1.46308,2.95898,1.26459,0.00072775,0.00072775,0.00072775
13,1063.96,1.25567,2.00339,1.2197,0.29993,0.28531,0.22445,0.1258,1.54416,2.59302,1.31471,0.000703,0.000703,0.000703
14,1168.51,1.24533,1.89569,1.19355,0.3885,0.34928,0.29348,0.1778,1.46217,2.31204,1.27847,0.00067825,0.00067825,0.00067825
15,1279,1.25948,1.82198,1.19895,0.29518,0.37081,0.25644,0.16458,1.42979,2.41137,1.28504,0.0006535,0.0006535,0.0006535
16,1377.41,1.23221,1.7812,1.16912,0.37201,0.33351,0.26465,0.15567,1.53901,2.40375,1.27679,0.00062875,0.00062875,0.00062875
17,1485.07,1.22377,1.70446,1.1878,0.39641,0.36641,0.3193,0.19162,1.56204,2.2451,1.31811,0.000604,0.000604,0.000604
18,1604.96,1.24929,1.73361,1.18787,0.42989,0.28379,0.28488,0.17806,1.50142,2.35934,1.27315,0.00057925,0.00057925,0.00057925
19,1717.65,1.20168,1.71377,1.18979,0.40777,0.35346,0.30816,0.17995,1.45934,2.29202,1.26633,0.0005545,0.0005545,0.0005545
20,1964.59,1.17469,1.57419,1.16594,0.37719,0.07697,0.07023,0.04076,1.51884,2.25223,1.28775,0.00052975,0.00052975,0.00052975
21,2338.24,1.17866,1.54571,1.15694,0.43196,0.3722,0.31758,0.19221,1.39392,2.1761,1.24195,0.000505,0.000505,0.000505
22,2664.35,1.18331,1.53336,1.15907,0.49732,0.14375,0.14021,0.08942,1.44121,2.15614,1.26483,0.00048025,0.00048025,0.00048025
23,3016.44,1.12975,1.4356,1.14489,0.30904,0.28464,0.20789,0.12202,1.48715,2.13426,1.27855,0.0004555,0.0004555,0.0004555
24,3310.11,1.15214,1.46803,1.12938,0.40286,0.35077,0.29614,0.18415,1.44743,2.16046,1.27179,0.00043075,0.00043075,0.00043075
25,3480.1,1.13526,1.41005,1.14059,0.3639,0.35549,0.29783,0.18608,1.44592,2.26262,1.2623,0.000406,0.000406,0.000406
26,3671.48,1.11528,1.36318,1.1307,0.39087,0.30962,0.26922,0.16471,1.42874,2.16941,1.24802,0.00038125,0.00038125,0.00038125
27,4036.81,1.10471,1.32319,1.11632,0.38128,0.36827,0.32996,0.2147,1.40747,2.14996,1.25564,0.0003565,0.0003565,0.0003565
28,4513.08,1.12299,1.3177,1.12042,0.31698,0.16375,0.12849,0.08666,1.39334,2.12463,1.25913,0.00033175,0.00033175,0.00033175
