type,hamming_distance,image_a,image_b,stem_a,stem_b,split_a,split_b
near_duplicate_dhash,0,water_datasets/Flow-Img.v2i.yolov8/train/images/000032_jpg.rf.54a39b81c28afb03ed773c2941d7b320.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000759_jpg.rf.c5d754c9424ddcc69e2ca54e01caf106.jpg,000032_jpg.rf.54a39b81c28afb03ed773c2941d7b320,000759_jpg.rf.c5d754c9424ddcc69e2ca54e01caf106,train,train
near_duplicate_dhash,0,water_datasets/Flow-Img.v2i.yolov8/train/images/000300_jpg.rf.c0c5c240daa5f3875ec947e3d8585ebd.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000986_jpg.rf.071a7557387f97c3f8332b4184241736.jpg,000300_jpg.rf.c0c5c240daa5f3875ec947e3d8585ebd,000986_jpg.rf.071a7557387f97c3f8332b4184241736,train,train
near_duplicate_dhash,0,water_datasets/Flow-Img.v2i.yolov8/train/images/000351_jpg.rf.b8b12466c180ea79744e4d31a1ad3eb0.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000803_jpg.rf.6d5b620769de894f6ccbbf3fac59404c.jpg,000351_jpg.rf.b8b12466c180ea79744e4d31a1ad3eb0,000803_jpg.rf.6d5b620769de894f6ccbbf3fac59404c,train,train
near_duplicate_dhash,0,water_datasets/Flow-Img.v2i.yolov8/train/images/000375_jpg.rf.9a9fadbfa5af26035e5b130b200dea63.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000730_jpg.rf.91f7c94a399782319c151a028289846e.jpg,000375_jpg.rf.9a9fadbfa5af26035e5b130b200dea63,000730_jpg.rf.91f7c94a399782319c151a028289846e,train,train
near_duplicate_dhash,0,water_datasets/Flow-Img.v2i.yolov8/train/images/000381_jpg.rf.fc747b86916c1a565a47e3f1b4a403ff.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000799_jpg.rf.a5d0acee9fe158dde860f8bcf288b023.jpg,000381_jpg.rf.fc747b86916c1a565a47e3f1b4a403ff,000799_jpg.rf.a5d0acee9fe158dde860f8bcf288b023,train,train
near_duplicate_dhash,0,water_datasets/Flow-Img.v2i.yolov8/train/images/000625_jpg.rf.e0f31dadbc71575cb749cb56119d3c6a.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000929_jpg.rf.5471dddc33db671a68dfedacbc0e424b.jpg,000625_jpg.rf.e0f31dadbc71575cb749cb56119d3c6a,000929_jpg.rf.5471dddc33db671a68dfedacbc0e424b,train,train
near_duplicate_dhash,0,water_datasets/Flow-Img.v2i.yolov8/train/images/000633_jpg.rf.9401b11a2c7b7b32b1e4488c710f2787.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000771_jpg.rf.caf9d6f96d1762ee304976d244cf144b.jpg,000633_jpg.rf.9401b11a2c7b7b32b1e4488c710f2787,000771_jpg.rf.caf9d6f96d1762ee304976d244cf144b,train,train
near_duplicate_dhash,0,water_datasets/Flow-Img.v2i.yolov8/train/images/000715_jpg.rf.6f5e0bed41190a2e8d50acb48d980d8a.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/001105_jpg.rf.5dcc958e0d05f3f3b62cd1928ed71498.jpg,000715_jpg.rf.6f5e0bed41190a2e8d50acb48d980d8a,001105_jpg.rf.5dcc958e0d05f3f3b62cd1928ed71498,train,train
near_duplicate_dhash,0,water_datasets/Flow-Img.v2i.yolov8/train/images/000911_jpg.rf.b2670301dc887e3d31febf07c361d771.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/001184_jpg.rf.795b87c11eeb4b09db4ea53e014bd932.jpg,000911_jpg.rf.b2670301dc887e3d31febf07c361d771,001184_jpg.rf.795b87c11eeb4b09db4ea53e014bd932,train,train
near_duplicate_dhash,1,water_datasets/Flow-Img.v2i.yolov8/train/images/000019_jpg.rf.dc4d3d50aed7f6565241f1d7d02807c0.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000028_jpg.rf.83f86d91069a540264f25cc440ab9bdf.jpg,000019_jpg.rf.dc4d3d50aed7f6565241f1d7d02807c0,000028_jpg.rf.83f86d91069a540264f25cc440ab9bdf,train,train
near_duplicate_dhash,2,water_datasets/Flow-Img.v2i.yolov8/train/images/000026_jpg.rf.e80e1b92d2d8de5a8dde6a5d437ec180.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000828_jpg.rf.05a266e7dc77f4d4a083f1b8700a83ac.jpg,000026_jpg.rf.e80e1b92d2d8de5a8dde6a5d437ec180,000828_jpg.rf.05a266e7dc77f4d4a083f1b8700a83ac,train,train
near_duplicate_dhash,2,water_datasets/Flow-Img.v2i.yolov8/train/images/000028_jpg.rf.83f86d91069a540264f25cc440ab9bdf.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000999_jpg.rf.0bf2cc3badf87d252b5bf3b641a16819.jpg,000028_jpg.rf.83f86d91069a540264f25cc440ab9bdf,000999_jpg.rf.0bf2cc3badf87d252b5bf3b641a16819,train,train
near_duplicate_dhash,1,water_datasets/Flow-Img.v2i.yolov8/train/images/000031_jpg.rf.bfaef74e23b33cd7c96cbef74a186588.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000162_jpg.rf.33594895973d6e3d5f4646fe5930630f.jpg,000031_jpg.rf.bfaef74e23b33cd7c96cbef74a186588,000162_jpg.rf.33594895973d6e3d5f4646fe5930630f,train,train
near_duplicate_dhash,2,water_datasets/Flow-Img.v2i.yolov8/train/images/000031_jpg.rf.bfaef74e23b33cd7c96cbef74a186588.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/001112_jpg.rf.091b571388b789cdefaf10be702016d9.jpg,000031_jpg.rf.bfaef74e23b33cd7c96cbef74a186588,001112_jpg.rf.091b571388b789cdefaf10be702016d9,train,train
near_duplicate_dhash,1,water_datasets/Flow-Img.v2i.yolov8/train/images/000032_jpg.rf.54a39b81c28afb03ed773c2941d7b320.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000869_jpg.rf.0c0d3031e7d210497eeef4f97e92da5d.jpg,000032_jpg.rf.54a39b81c28afb03ed773c2941d7b320,000869_jpg.rf.0c0d3031e7d210497eeef4f97e92da5d,train,train
near_duplicate_dhash,1,water_datasets/Flow-Img.v2i.yolov8/train/images/000060_jpg.rf.1cc8d0727dcb84abcc1b61b9d92c1e2b.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000300_jpg.rf.c0c5c240daa5f3875ec947e3d8585ebd.jpg,000060_jpg.rf.1cc8d0727dcb84abcc1b61b9d92c1e2b,000300_jpg.rf.c0c5c240daa5f3875ec947e3d8585ebd,train,train
near_duplicate_dhash,2,water_datasets/Flow-Img.v2i.yolov8/train/images/000060_jpg.rf.1cc8d0727dcb84abcc1b61b9d92c1e2b.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000733_jpg.rf.eb75505269bc3bb834649ed31a334e66.jpg,000060_jpg.rf.1cc8d0727dcb84abcc1b61b9d92c1e2b,000733_jpg.rf.eb75505269bc3bb834649ed31a334e66,train,train
near_duplicate_dhash,1,water_datasets/Flow-Img.v2i.yolov8/train/images/000060_jpg.rf.1cc8d0727dcb84abcc1b61b9d92c1e2b.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000986_jpg.rf.071a7557387f97c3f8332b4184241736.jpg,000060_jpg.rf.1cc8d0727dcb84abcc1b61b9d92c1e2b,000986_jpg.rf.071a7557387f97c3f8332b4184241736,train,train
near_duplicate_dhash,1,water_datasets/Flow-Img.v2i.yolov8/train/images/000097_jpg.rf.c4ef5d5faac42b7faf1d58625618e8b2.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000112_jpg.rf.a6c79c6080fdd3a45dd66a23ad691e99.jpg,000097_jpg.rf.c4ef5d5faac42b7faf1d58625618e8b2,000112_jpg.rf.a6c79c6080fdd3a45dd66a23ad691e99,train,train
near_duplicate_dhash,2,water_datasets/Flow-Img.v2i.yolov8/train/images/000106_jpg.rf.fa9458162a8b289c0468f863974046ac.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000354_jpg.rf.3b02ab4ab6d99d840008c96713799952.jpg,000106_jpg.rf.fa9458162a8b289c0468f863974046ac,000354_jpg.rf.3b02ab4ab6d99d840008c96713799952,train,train
near_duplicate_dhash,2,water_datasets/Flow-Img.v2i.yolov8/train/images/000115_jpg.rf.0ace878d244707aba2f9da2c3c288042.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000564_jpg.rf.474cb9f48e803fc9597680c5cd9a028d.jpg,000115_jpg.rf.0ace878d244707aba2f9da2c3c288042,000564_jpg.rf.474cb9f48e803fc9597680c5cd9a028d,train,train
near_duplicate_dhash,2,water_datasets/Flow-Img.v2i.yolov8/train/images/000129_jpg.rf.b550fd38121fa6a881ea0cea655e7112.jpg,water_datasets/Flow-Img.v2i.yolov8/train/images/000264_jpg.rf.47fe1db7c5e8985986ff41325fce2f0a.jpg,000129_jpg.rf.b550fd38121fa6a881ea0cea655e7112,000264_jpg.rf.47fe1db7c5e8985986ff41325fce2f0a,train,train
