type,hamming_distance,image_a,image_b,package_a,package_b,source_group_a,source_group_b,same_group,cross_package
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0168.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0169.jpg,package1,package1,2022-08-18,2022-08-18,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0168.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0171.jpg,package1,package1,2022-08-18,2022-08-18,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0169.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0171.jpg,package1,package1,2022-08-18,2022-08-18,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0200.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0201.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0230.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0234.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0231.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0233.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0264.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0300.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0289.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0305.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0289.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0307.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0289.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0348.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0305.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0307.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0305.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0348.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0307.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0348.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0333.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0337.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0333.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0340.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0333.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0344.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0337.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0340.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0337.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0344.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0340.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0344.jpg,package1,package1,_bare_numeric,_bare_numeric,True,False
near_duplicate_dhash,0,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0360.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0784.jpg,package1,package1,image,image,True,False
