image,annotation,problem,original_value,action
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0481.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0481.xml,box_outside_image_bounds,"[2,276,957,1081]","clipped to frame [2,276,957,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0481.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0481.xml,box_outside_image_bounds,"[963,425,1921,750]","clipped to frame [963,425,1920,750]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0481.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0481.xml,box_outside_image_bounds,"[958,742,1921,1079]","clipped to frame [958,742,1920,1079]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0482.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0482.xml,box_outside_image_bounds,"[1697,247,1921,537]","clipped to frame [1697,247,1920,537]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0482.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0482.xml,box_outside_image_bounds,"[1147,546,1919,1081]","clipped to frame [1147,546,1919,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0482.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0482.xml,box_outside_image_bounds,"[757,832,1142,1081]","clipped to frame [757,832,1142,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0482.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0482.xml,box_outside_image_bounds,"[87,921,757,1081]","clipped to frame [87,921,757,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0486.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0486.xml,box_outside_image_bounds,"[1573,2,1921,144]","clipped to frame [1573,2,1920,144]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0486.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0486.xml,box_outside_image_bounds,"[1433,443,1921,943]","clipped to frame [1433,443,1920,943]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0487.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0487.xml,box_outside_image_bounds,"[1685,171,1921,699]","clipped to frame [1685,171,1920,699]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0487.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0487.xml,box_outside_image_bounds,"[1156,580,1819,1081]","clipped to frame [1156,580,1819,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0487.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0487.xml,box_outside_image_bounds,"[767,846,1157,1081]","clipped to frame [767,846,1157,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0491.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0491.xml,box_outside_image_bounds,"[1010,767,1640,1081]","clipped to frame [1010,767,1640,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0492.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0492.xml,box_outside_image_bounds,"[1301,441,1921,840]","clipped to frame [1301,441,1920,840]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0492.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0492.xml,box_outside_image_bounds,"[700,634,1910,1081]","clipped to frame [700,634,1910,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0493.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0493.xml,box_outside_image_bounds,"[1693,74,1921,400]","clipped to frame [1693,74,1920,400]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0493.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0493.xml,box_outside_image_bounds,"[49,624,1145,1081]","clipped to frame [49,624,1145,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0498.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0498.xml,box_outside_image_bounds,"[1702,52,1921,396]","clipped to frame [1702,52,1920,396]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0500.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0500.xml,box_outside_image_bounds,"[2,734,755,1081]","clipped to frame [2,734,755,1080]"
datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/JPEGImages/0503.jpg,datasets/water/IWHR_AI_Lable_Floater_V1/raw/package1/Annotations/0503.xml,box_outside_image_bounds,"[1736,2,1921,473]","clipped to frame [1736,2,1920,473]"
