epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0259,1.26673,1.55906,0.91236,0.96472,0.26388,0.77158,0.51826,1.02716,2.34933,0.8955,0.000656716,0.000656716,0.000656716
2,121.214,1.16112,0.85452,0.88813,0.9194,0.79659,0.88298,0.61344,0.99458,0.92566,0.90442,0.00130155,0.00130155,0.00130155
3,190.008,1.16046,0.78829,0.88676,0.83398,0.84113,0.90399,0.65481,0.95378,0.86915,0.89332,0.00192438,0.00192438,0.00192438
4,261.092,1.11491,0.71787,0.87179,0.89028,0.86143,0.93613,0.68561,0.92219,0.72347,0.90343,0.001901,0.001901,0.001901
5,349.191,1.12046,0.68453,0.87916,0.89154,0.836,0.92979,0.67115,0.94064,0.7532,0.89178,0.001868,0.001868,0.001868
6,470.31,1.11143,0.66362,0.87483,0.88705,0.83959,0.90148,0.66813,0.87798,0.67737,0.88723,0.001835,0.001835,0.001835
7,596.344,1.06516,0.6192,0.86973,0.93143,0.86711,0.94298,0.68932,0.90189,0.65394,0.88739,0.001802,0.001802,0.001802
8,704.948,1.03799,0.60213,0.86987,0.90327,0.85272,0.93594,0.68273,0.90484,0.63218,0.88446,0.001769,0.001769,0.001769
9,798.525,1.04044,0.5937,0.86447,0.88508,0.83474,0.92652,0.65495,0.9785,0.63772,0.90823,0.001736,0.001736,0.001736
10,896.094,1.02783,0.57349,0.86106,0.89331,0.85155,0.92789,0.67128,0.90515,0.59424,0.89047,0.001703,0.001703,0.001703
11,984.104,1.04034,0.57155,0.85863,0.92908,0.84336,0.93687,0.69912,0.87623,0.59857,0.88398,0.00167,0.00167,0.00167
12,1070.7,0.98275,0.55465,0.85299,0.90906,0.8534,0.92939,0.67725,0.9133,0.60071,0.89089,0.001637,0.001637,0.001637
