type,hamming_distance,image_a,image_b,stem_a,stem_b,session_a,session_b,same_session
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp14_pic157.jpg,water_datasets/TUD-GV/images/exp14_pic164.jpg,exp14_pic157,exp14_pic164,exp14,exp14,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp14_pic253.jpg,water_datasets/TUD-GV/images/exp14_pic260.jpg,exp14_pic253,exp14_pic260,exp14,exp14,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp14_pic253.jpg,water_datasets/TUD-GV/images/exp14_pic263.jpg,exp14_pic253,exp14_pic263,exp14,exp14,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp14_pic260.jpg,water_datasets/TUD-GV/images/exp14_pic263.jpg,exp14_pic260,exp14_pic263,exp14,exp14,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp14_pic328.jpg,water_datasets/TUD-GV/images/exp14_pic334.jpg,exp14_pic328,exp14_pic334,exp14,exp14,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp14_pic328.jpg,water_datasets/TUD-GV/images/exp14_pic347.jpg,exp14_pic328,exp14_pic347,exp14,exp14,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp14_pic328.jpg,water_datasets/TUD-GV/images/exp14_pic348.jpg,exp14_pic328,exp14_pic348,exp14,exp14,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp14_pic334.jpg,water_datasets/TUD-GV/images/exp14_pic347.jpg,exp14_pic334,exp14_pic347,exp14,exp14,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp14_pic334.jpg,water_datasets/TUD-GV/images/exp14_pic348.jpg,exp14_pic334,exp14_pic348,exp14,exp14,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp14_pic347.jpg,water_datasets/TUD-GV/images/exp14_pic348.jpg,exp14_pic347,exp14_pic348,exp14,exp14,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic103.jpg,exp16_pic100,exp16_pic103,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic172.jpg,exp16_pic100,exp16_pic172,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic191.jpg,exp16_pic100,exp16_pic191,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic193.jpg,exp16_pic100,exp16_pic193,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic198.jpg,exp16_pic100,exp16_pic198,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic214.jpg,exp16_pic100,exp16_pic214,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic216.jpg,exp16_pic100,exp16_pic216,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic240.jpg,exp16_pic100,exp16_pic240,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic265.jpg,exp16_pic100,exp16_pic265,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic267.jpg,exp16_pic100,exp16_pic267,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic269.jpg,exp16_pic100,exp16_pic269,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic273.jpg,exp16_pic100,exp16_pic273,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic278.jpg,exp16_pic100,exp16_pic278,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic279.jpg,exp16_pic100,exp16_pic279,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic280.jpg,exp16_pic100,exp16_pic280,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic281.jpg,exp16_pic100,exp16_pic281,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic282.jpg,exp16_pic100,exp16_pic282,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic284.jpg,exp16_pic100,exp16_pic284,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic293.jpg,exp16_pic100,exp16_pic293,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic303.jpg,exp16_pic100,exp16_pic303,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic304.jpg,exp16_pic100,exp16_pic304,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic305.jpg,exp16_pic100,exp16_pic305,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic306.jpg,exp16_pic100,exp16_pic306,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic308.jpg,exp16_pic100,exp16_pic308,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic91.jpg,exp16_pic100,exp16_pic91,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic100.jpg,water_datasets/TUD-GV/images/exp16_pic93.jpg,exp16_pic100,exp16_pic93,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic172.jpg,exp16_pic103,exp16_pic172,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic191.jpg,exp16_pic103,exp16_pic191,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic193.jpg,exp16_pic103,exp16_pic193,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic198.jpg,exp16_pic103,exp16_pic198,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic214.jpg,exp16_pic103,exp16_pic214,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic216.jpg,exp16_pic103,exp16_pic216,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic240.jpg,exp16_pic103,exp16_pic240,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic265.jpg,exp16_pic103,exp16_pic265,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic267.jpg,exp16_pic103,exp16_pic267,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic269.jpg,exp16_pic103,exp16_pic269,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic273.jpg,exp16_pic103,exp16_pic273,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic278.jpg,exp16_pic103,exp16_pic278,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic279.jpg,exp16_pic103,exp16_pic279,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic280.jpg,exp16_pic103,exp16_pic280,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic281.jpg,exp16_pic103,exp16_pic281,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic282.jpg,exp16_pic103,exp16_pic282,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic284.jpg,exp16_pic103,exp16_pic284,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic293.jpg,exp16_pic103,exp16_pic293,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic303.jpg,exp16_pic103,exp16_pic303,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic304.jpg,exp16_pic103,exp16_pic304,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic305.jpg,exp16_pic103,exp16_pic305,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic306.jpg,exp16_pic103,exp16_pic306,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic308.jpg,exp16_pic103,exp16_pic308,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic91.jpg,exp16_pic103,exp16_pic91,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/images/exp16_pic93.jpg,exp16_pic103,exp16_pic93,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic165.jpg,water_datasets/TUD-GV/images/exp16_pic253.jpg,exp16_pic165,exp16_pic253,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic172.jpg,water_datasets/TUD-GV/images/exp16_pic191.jpg,exp16_pic172,exp16_pic191,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic172.jpg,water_datasets/TUD-GV/images/exp16_pic193.jpg,exp16_pic172,exp16_pic193,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic172.jpg,water_datasets/TUD-GV/images/exp16_pic198.jpg,exp16_pic172,exp16_pic198,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic172.jpg,water_datasets/TUD-GV/images/exp16_pic214.jpg,exp16_pic172,exp16_pic214,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic172.jpg,water_datasets/TUD-GV/images/exp16_pic216.jpg,exp16_pic172,exp16_pic216,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic172.jpg,water_datasets/TUD-GV/images/exp16_pic240.jpg,exp16_pic172,exp16_pic240,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic172.jpg,water_datasets/TUD-GV/images/exp16_pic265.jpg,exp16_pic172,exp16_pic265,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic172.jpg,water_datasets/TUD-GV/images/exp16_pic267.jpg,exp16_pic172,exp16_pic267,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic172.jpg,water_datasets/TUD-GV/images/exp16_pic269.jpg,exp16_pic172,exp16_pic269,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic172.jpg,water_datasets/TUD-GV/images/exp16_pic273.jpg,exp16_pic172,exp16_pic273,exp16,exp16,True
near_duplicate_dhash,0,water_datasets/TUD-GV/images/exp16_pic172.jpg,water_datasets/TUD-GV/images/exp16_pic278.jpg,exp16_pic172,exp16_pic278,exp16,exp16,True
